Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
526570.0,177240.0,-0.178716,51.47991,1,2,2,1,2005-08-25,5,07:18:00,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002841
526190.0,177710.0,-0.184017,51.484219,1,2,1,1,2005-08-21,1,23:54:00,12,E09000020,3,308,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002912
526250.0,178900.0,-0.182729,51.4949,1,2,1,1,2005-09-03,7,22:55:00,12,E09000020,3,4,3,50,3,2,4,325,0,5,4,8,1,0,0,1,1,E01002835
523760.0,180920.0,-0.217871,51.513605,1,2,1,1,2005-09-13,3,20:46:00,12,E09000020,6,0,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002877
527360.0,178430.0,-0.166917,51.490428,1,2,1,1,2005-09-12,2,11:15:00,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002914
525010.0,180390.0,-0.200054,51.508566,1,2,2,1,2005-09-25,1,11:42:00,12,E09000020,3,402,6,30,3,2,5,0,0,5,1,1,2,0,0,1,1,E01002828
525250.0,178950.0,-0.197108,51.495572,1,2,2,1,2005-09-22,5,13:15:00,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002815
527090.0,177550.0,-0.17112,51.48258,1,2,2,1,2005-09-07,4,07:35:00,12,E09000020,3,3212,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01002844
525080.0,180600.0,-0.198971,51.510438,1,2,1,1,2005-09-23,6,07:55:00,12,E09000020,4,415,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002883
526110.0,178880.0,-0.184751,51.494752,1,2,2,2,2005-09-27,3,10:20:00,12,E09000020,3,4,3,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01002835
527680.0,178410.0,-0.162317,51.490176,1,2,1,1,2005-09-24,7,15:38:00,12,E09000020,3,3217,6,30,3,4,5,0,0,1,1,1,1,0,0,1,1,E01002902
526000.0,179370.0,-0.18616,51.49918,1,2,1,1,2005-10-06,5,08:27:00,12,E09000020,6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,2,E01002890
526470.0,177250.0,-0.180152,51.480022,1,2,1,1,2005-09-07,4,23:00:00,12,E09000020,3,3220,2,30,3,4,3,3220,0,4,4,1,1,0,0,1,1,E01002841
524770.0,181600.0,-0.203083,51.519494,1,2,2,1,2005-10-19,4,07:50:00,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,2,E01002830
525590.0,180550.0,-0.191644,51.509876,1,2,2,1,2005-10-11,3,08:28:00,12,E09000020,3,402,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004693
528150.0,178790.0,-0.155413,51.493484,1,2,2,1,2005-10-12,4,18:15:00,1,E09000033,3,3217,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01002859
527440.0,179340.0,-0.165437,51.498588,1,2,2,1,2005-10-19,4,18:26:00,12,E09000020,3,4,6,30,3,4,3,4,0,4,4,2,2,0,0,1,1,E01002819
527620.0,179510.0,-0.162784,51.500075,1,2,1,1,2005-10-20,5,14:10:00,12,E09000020,3,4,3,30,3,4,3,4,0,4,1,1,1,0,0,1,1,E01002818
526870.0,179000.0,-0.173766,51.49566,1,2,1,1,2005-10-25,3,20:45:00,12,E09000020,3,4,6,30,6,2,5,0,0,5,4,1,1,0,0,1,2,E01002821
527610.0,177680.0,-0.163589,51.483631,1,2,4,3,2005-10-23,1,18:20:00,12,E09000020,3,3212,6,30,3,2,4,302,0,5,4,1,1,0,0,1,1,E01002900
527350.0,177620.0,-0.167353,51.48315,1,2,1,1,2005-10-21,6,11:10:00,12,E09000020,3,3031,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01002844
524090.0,181210.0,-0.213016,51.516139,1,2,1,1,2005-10-26,4,09:56:00,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002878
527240.0,179160.0,-0.168381,51.497015,1,2,2,2,2005-10-28,6,08:00:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002819
527520.0,179400.0,-0.164263,51.499109,1,2,2,1,2005-10-21,6,18:23:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002819
527470.0,179230.0,-0.165044,51.497592,1,2,3,1,2005-11-02,4,11:00:00,12,E09000020,4,319,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01002818
524960.0,180380.0,-0.200778,51.508488,1,2,2,1,2005-11-06,1,00:50:00,12,E09000020,3,402,6,30,3,4,6,0,0,1,4,1,1,0,2,1,1,E01002883
524890.0,180990.0,-0.20157,51.513985,1,2,2,1,2005-11-04,6,13:16:00,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002832
527980.0,178700.0,-0.157893,51.492714,1,2,1,1,2005-11-09,4,13:08:00,12,E09000020,3,3216,6,30,3,4,3,3217,0,1,1,1,1,0,0,1,1,E01002859
525470.0,179590.0,-0.193714,51.501275,1,2,1,2,2005-11-07,2,09:50:00,12,E09000020,5,0,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002825
528530.0,177930.0,-0.150255,51.48567,1,2,1,1,2005-11-16,4,23:40:00,12,E09000020,3,3212,6,30,6,2,3,3216,0,5,4,1,1,0,0,1,1,E01002901
